movies_id,id,year,exclude,film,lead studio,rotten tomatoes,audience score,story,genre,number of theatres in opening weekend us,box office average per cinema,domestic gross,foreign gross,worldwide gross,budget,profit,proftitability,opening weekend,oscar,bafta,source,column
movies-0435,436,200,,my best friend's girl,lionsgate,14.0,51,comedy,comedy,2604.0,0.003174,1.922e-05,2.24e-05,3.6200000000000006e-05,2e-05,1.62e-05,1.81,8.269999999999999e-06,,,,
movies-0436,437,200,True,never back down,,23.0,37,rivalry,action,2729.0,0.003152,2.485e-05,1.6780000000000002e-05,4.16e-05,2.1e-05,2.0600000000000003e-05,1.98,8.599999999999999e-06,,,,
movies-0437,438,200,True,nick and norah's infinite playlist,,73.0,67,love,comedy,2421.0,0.004672,3.149e-05,,3.17e-05,1e-05,2.17e-05,3.17,1.131e-05,,,,
movies-0438,439,200,True,nights in rodanthe,,31.0,56,discovery,drama,2704.0,0.004962,4.1740000000000004e-05,,7.57e-05,3e-05,4.57e-05,2.52,1.342e-05,,,,
movies-0439,440,200,,nim's island,independent,51.0,50,rescue,adventure,3513.0,0.00376,4.8009999999999996e-05,5.207e-05,9.99e-05,3.7e-05,6.29e-05,2.7,1.3199999999999999e-05,,,,
movies-0440,441,200,True,one missed call,,0.0,36,monster force,horror,2240.0,0.005585,2.6890000000000002e-05,,4.45e-05,2e-05,2.45e-05,2.23,1.25e-05,,,,
movies-0441,442,200,True,over her dead body,,15.0,47,love,comedy,,,0.0,,2.09e-05,1e-05,1.09e-05,2.09,4.03e-06,,,,
movies-0442,443,200,,penelope,summit,52.0,74,love,comedy,,,1.0009999999999999e-05,1.073e-05,2.075e-05,1.5e-05,5.75e-06,1.38,3.7999999999999996e-06,,,,
movies-0443,444,200,,pineapple express,sony,68.0,74,comedy,action,3072.0,0.007567,8.734e-05,1.4279999999999999e-05,0.0001015,2.6e-05,7.55e-05,3.9,2.3199999999999998e-05,,,,
movies-0444,445,200,,pride & glory,warner bros.,34.0,54,temptation,crime,2585.0,0.002423,1.5740000000000002e-05,1.541e-05,2.38e-05,3e-05,-6.2e-06,0.79,6.26e-06,,,,
movies-0445,446,200,,prom night,independent,8.0,46,escape,horror,2700.0,0.007705,4.387e-05,,5.72e-05,1.8e-05,3.9200000000000004e-05,3.18,2.081e-05,,,,
movies-0446,447,200,,punisher: war zone,lionsgate,27.0,47,revenge,action,2508.0,0.001703,8.050000000000001e-06,1.5e-07,8.19e-06,3e-05,-2.181e-05,0.27,4.2999999999999995e-06,,,,
movies-0447,448,200,,quantum of solace,mgm,64.0,62,revenge,action,3451.0,0.019568,0.00016680000000000002,,0.000567,0.00023,0.000337,2.47,6.75e-05,,,,
movies-0448,449,200,,quarantine,sony,59.0,46,monster force,horror,2461.0,0.005775,3.169e-05,,3.72e-05,1.2e-05,2.52e-05,3.1,1.42e-05,,,,
movies-0449,450,200,,rachel getting married,independent,85.0,61,love,drama,,,1.033e-05,5.3e-07,1.086e-05,1.2e-05,-1.1399999999999999e-06,0.9,2.9e-07,,,http://www.the-numbers.com/movies/2008/rgmrd.php,
movies-0450,451,200,,rambo,lionsgate,36.0,70,rescue,action,2751.0,0.006617,4.275e-05,,0.0001132,4.75e-05,6.57e-05,2.38,1.82e-05,,,,
movies-0451,452,200,True,religulous,,70.0,78,comedy,documentary,502.0,0.006792,1.3009999999999999e-05,1.2e-07,1.3140000000000001e-05,2.5e-06,1.064e-05,5.25,3.41e-06,,,http://www.the-numbers.com/movies/2008/relig.php,
movies-0452,453,200,True,righteous kill,,19.0,44,the riddle,crime,3152.0,0.005168,4.0079999999999996e-05,,7.4e-05,6e-05,1.4e-05,1.23,1.63e-05,,,,
movies-0453,454,200,,role models,universal,77.0,75,discovery,comedy,2792.0,0.006865,6.669e-05,2.509e-05,6.670000000000001e-05,2.8e-05,3.8700000000000006e-05,2.38,1.917e-05,,,,
movies-0454,455,200,,saw v,independent,13.0,63,monster force,crime,3030.0,0.009822,5.675e-05,5.7119999999999995e-05,0.0001036,1.08e-05,9.279999999999999e-05,9.59,3.01e-05,,,,
movies-0455,456,200,,semi-pro,warner bros.,21.0,41,underdog,comedy,3121.0,0.00483,3.348e-05,1.041e-05,4.3899999999999996e-05,2.6e-06,4.1299999999999994e-05,16.88,1.508e-05,,,,
movies-0456,457,200,True,seven pounds,,27.0,77,sacrifice,drama,2758.0,0.005385,6.004e-05,,6.14e-05,5.4e-05,7.4e-06,1.14,1.49e-05,,,,
movies-0457,458,200,,sex and the city,warner bros.,49.0,81,love,comedy,3285.0,0.017363,0.00015265,0.00026261000000000004,0.0004151,5.75e-05,0.0003576,7.22,5.7039999999999996e-05,,,,
movies-0458,459,200,,sex drive,summit,46.0,61,journey and return,adventure,2421.0,0.00149,8.400000000000001e-06,2.01e-06,1.041e-05,1.9e-05,-8.589999999999999e-06,0.55,3.6099999999999997e-06,,,,
movies-0459,460,200,True,shutter,,7.0,40,monster force,horror,2753.0,0.003794,2.593e-05,,4.7799999999999996e-05,8e-06,3.98e-05,5.98,1.05e-05,,,,
movies-0460,461,200,,slumdog millionaire,independent,94.0,90,underdog,crime,,,0.00010189,0.00023659,0.000198,1.5e-05,0.000183,13.2,4.2999999999999995e-06,"best picture, director, adapted screenplay","best film, director, adapted screenplay",,
movies-0461,462,200,,smart people,independent,50.0,41,transformation,comedy,1106.0,0.0037,9.51e-06,2.1400000000000003e-06,1.165e-05,7e-06,4.65e-06,1.66,4.09e-06,,,http://www.the-numbers.com/movies/2008/smpep.php,
movies-0462,463,200,,soul men,the weinstein company,45.0,42,comedy,comedy,2044.0,0.002643,1.208e-05,2.5e-07,1.233e-05,0.0,1.233e-05,,5.4e-06,,,http://www.boxofficemojo.com/movies/?id=soulmen.htm,
movies-0463,464,200,,space chimps,independent*,36.0,37,transformation,animation,2511.0,0.00286,3.0109999999999998e-05,3.4729999999999994e-05,6.379999999999999e-05,3.7e-05,2.68e-05,1.72,7.18e-06,,,"* co-production partnership with digital production studios, a subsidiary of idt media.",
movies-0464,465,200,,speed racer,warner bros.,38.0,61,quest,action,3606.0,0.005174,4.3950000000000004e-05,5e-05,9.340000000000001e-05,0.00012,-2.6600000000000003e-05,0.78,1.86e-05,,,,
movies-0465,466,200,,star wars: the clone wars,independent,19.0,46,sacrifice,animation,3452.0,0.004233,3.5159999999999995e-05,3.3119999999999995e-05,6.56e-05,8.5e-06,5.71e-05,7.72,1.4599999999999999e-05,,,,
movies-0466,467,200,,step brothers,sony,54.0,68,comedy,comedy,3094.0,0.01,0.00010047,2.764e-05,0.000128,6.5e-05,6.3e-05,1.97,3.094e-05,,,,
movies-0467,468,200,,step up 2: the streets,disney,26.0,81,underdog,drama,2470.0,0.007655,5.8020000000000004e-05,9.279999999999999e-05,0.0001482,1.75e-05,0.00013069999999999998,8.47,1.891e-05,,,,
movies-0468,469,200,,stop-loss,paramount,65.0,27,tragedy,drama,1291.0,0.003528,1.092e-05,2.6e-07,1.118e-05,2.5e-05,-1.382e-05,0.45,4.5599999999999995e-06,,,http://www.the-numbers.com/movies/2008/stopl.php,
movies-0469,470,200,,street kings,fox,37.0,62,the riddle,action,2467.0,0.005054,2.642e-05,3.9149999999999996e-05,6.36e-05,2e-05,4.36e-05,3.18,1.25e-05,,,,
movies-0470,471,200,,superhero movie,the weinstein company,15.0,36,comedy,comedy,2960.0,0.003212,2.587e-05,4.5350000000000005e-05,7.11e-05,6.5e-05,6.1e-06,1.09,9.51e-06,,,,
movies-0471,472,200,,swing vote,disney,36.0,44,maturation,comedy,2213.0,0.002815,1.6289999999999998e-05,1.34e-06,3.34e-05,2e-05,1.34e-05,1.67,6.2300000000000005e-06,,,,
movies-0472,473,200,,the bank job,independent,78.0,74,quest,thriller,1603.0,0.003702,3.006e-05,3.476e-05,6.379999999999999e-05,2e-05,4.3799999999999994e-05,3.19,5.940000000000001e-06,,,,
movies-0473,474,200,,the boy in the striped pyjamas,independent,63.0,84,tragedy,drama,,,8.7e-06,3.137e-05,3.3e-05,1.25e-05,2.05e-05,2.64,1.03e-06,,,,
movies-0474,475,200,,the chronicles of narnia: prince caspian,disney,66.0,78,fish out of water,action,3929.0,0.014007,0.00014162000000000002,0.00027804,0.0004196,0.0002,0.0002196,2.1,5.503e-05,,,,
movies-0475,476,200,,the curious case of benjamin button,warner bros.,73.0,81,love,drama,2988.0,0.008987,7.901e-05,0.00020642,0.000322,0.00016,0.000162,2.01,2.6850000000000002e-05,,,,
movies-0476,477,200,,the dark knight,warner bros.,94.0,96,revenge,thriller,4366.0,0.036283,0.0005309199999999999,0.00046857999999999996,0.0009969,0.000185,0.0008119,5.39,0.0001584,supporting actor,supporting actor,,
movies-0477,478,200,,the day the earth stood still,fox,19.0,34,sacrifice,thriller,3560.0,0.008562,7.43e-05,0.00015372999999999998,0.00023,0.0001,0.00013,2.3,3.05e-05,,,,
movies-0478,479,200,,the duchess,paramount,60.0,68,love,drama,,,1.385e-05,2.9460000000000003e-05,3.43e-05,1.35e-05,2.08e-05,2.54,3.2999999999999997e-06,,,,
movies-0479,480,200,,the express,independent,62.0,73,maturation,drama,2808.0,0.001625,9.79e-06,1e-08,9.810000000000001e-06,3.75e-05,-2.769e-05,0.26,4.5599999999999995e-06,,,http://www.the-numbers.com/movies/2008/exprs.php,
movies-0480,481,200,,the eye,lionsgate,22.0,51,sacrifice,horror,2436.0,0.005101,3.142e-05,2.555e-05,5.68e-05,1.2e-05,4.48e-05,4.73,1.24e-05,,,,
movies-0481,482,200,,the forbidden kingdom,relativity media,64.0,65,journey and return,action,3151.0,0.006791,5.2079999999999996e-05,7.59e-05,0.00012880000000000001,5.5e-05,7.379999999999999e-05,2.34,2.14e-05,,,,
movies-0482,483,200,True,the happening,,19.0,29,escape,thriller,2986.0,0.01022,6.451e-05,,0.00016340000000000001,6e-05,0.0001034,2.72,3.052e-05,,,,
movies-0483,484,200,True,the haunting of molly hartley,,3.0,22,sacrifice,horror,2352.0,0.002045,1.356e-05,1.33e-06,1.489e-05,5e-06,9.89e-06,2.98,5.4e-06,,,,
movies-0484,485,200,True,the house bunny,,39.0,54,discovery,comedy,2714.0,0.005355,0.0,,7e-05,2.5e-05,4.5e-05,2.8,1.453e-05,,,,
movies-0485,486,200,,the incredible hulk,universal,67.0,75,metamorphosis,action,3505.0,0.01581,0.00013453,0.00012862,0.0002625,0.0001375,0.000125,1.91,5.514e-05,,,,
movies-0486,487,200,,the longshots,independent,39.0,39,quest,comedy,2089.0,0.001953,1.151e-05,2.3000000000000002e-07,1.174e-05,3e-05,-1.826e-05,0.39,4e-06,,,,
movies-0487,488,200,,the love guru,paramount,14.0,38,comedy,comedy,3505.0,0.01581,3.2200000000000003e-05,8.63e-06,4.0799999999999996e-05,6.2e-05,-2.12e-05,0.66,1.391e-05,,,,
movies-0488,489,200,True,the mummy: tomb of the dragon emperor,,14.0,40,quest,action,3760.0,0.01076,0.00010228,,0.00039319999999999996,0.000175,0.0002182,2.25,4.05e-05,,,,
movies-0489,490,200,,the other boleyn girl,independent,41.0,65,tragedy,drama,1166.0,0.007035,2.681e-05,5.09e-05,7.72e-05,4e-05,3.72e-05,1.93,8.2e-06,,,,
movies-0490,491,200,True,the pirates who don't do anything,,41.0,61,fish out of water,comedy,,,1.273e-05,1.7000000000000001e-07,1.29e-05,1.5e-05,-2.1000000000000002e-06,0.86,4.25e-06,,,,
movies-0491,492,200,,the ruins,paramount,46.0,32,rescue,horror,2812.0,0.002846,1.743e-05,5.3e-06,2.26e-05,2.5e-05,-2.4e-06,0.9,8e-06,,,,
movies-0492,493,200,,the secret life of bees,fox,56.0,78,maturation,drama,1591.0,0.006617,3.743e-05,2.1800000000000003e-06,3.78e-05,1.1e-05,2.68e-05,3.44,1.0529999999999999e-05,,,,
